index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
65,Portales Municipal Schools,TRUE,"Beginning Tuesday, March 17th, 2020 free breakfast and lunch will be offered to all students of Portales Municipal Schools and preschool-aged siblings. More details about these meals will be released on Monday by e-mail and school messenger. 

Locations: Lindsey-Steiner Elementary; Portales High School",,Pick up a breakfast and a lunch between the hours of 9 a.m. and 10:30 a.m.,http://www.portalesschools.com/,,,,Portales,NM,88130,34.076964,-103.352595,Roosevelt County,US,1,place,,,,starting march 17
66,Quemado Independent Schools,,No information currently available.,,,,,,,Quemado,NM,87829,34.343940,-108.495620,Catron County,US,1,place,,,,
67,Questa Independent Schools,TRUE,"Questa Public Schools will provide breakfast and lunch to students using a drive thru method.  As you drive up to the designated sites, tell the person at the site the number of meals you need.  A paper sack will be handed to you with the meal(s).  Please do not get out of your vehicle as this is very important for everyone's well being.  This will continue throughout the three weeks unless the system has to be modified for unforeseen reasons.  At Cerro & Costilla look for a QISD Suburban.

Locations: Questa, Alta Vista - Alta Vista north side cafeteria door; Cerro: Cerro VFW; Costilla:  Costilla Gas Station",,"Breakfast: 8 a.m. to 8:30 a.m.
Lunch: 12 p.m. to 12:30 p.m.",https://qisd-nm.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=jahic13f1tmd6iw&group_id=1500178971541,,,,Questa,NM,87556,36.703910,-105.595010,Taos County,US,1,place,,,,
68,Raton Public Schools,TRUE,"Beginning March 23, 2020, grab & go meals will be available at each school site, Monday - Friday, from 12:00 pm - 1:00 pm. Meals will only be provided to children who are present at the distribution sites. Adults may not pick up meals for others. 

Locations: Raton High School; Raton Intermediate School; Longfellow Elementary Schools. ",Beginning March 23,12 p.m. to 1 p.m.,Found on Facebook,,,,Raton,NM,87740,36.903360,-104.439150,Colfax County,US,1,place,,,,
69,Reserve Independent Schools,,No information currently available.,,,,,,,Reserve,NM,87830,33.681174,-108.859382,Catron County,US,1,place,,,,
71,Roswell Independent Schools,TRUE,"During the school closure, Grab & Go Meals are available to children 18 years
of age and younger, free of charge. Breakfast and lunch meals will be made available and served together.  Please note: available meals per location vary by date. Child must be present to claim each meal. Adult
meals will not be available for sale.

Locations:
Spring Break March 16-20, 8:00 am - 12:00 pm
Roswell High School - Front Parking lot
Goddard High School - Front parking lot
University High School - Front parking lot

Extended Spring Break March 23-April 3, 8:00 am - 12:00 pm
All in front parking lot areas of the following Roswell Schools: 
Berrendo Elementary School, Del Norte Elementary School, El Capitan Elementary School, East Grand Plains Elementary School, Missouri, Monterey, Military Heights, Nancy Lopez, Pecos Elementary, Valley View Elementary, Parkview Early Literacy Center, Sunset Elementary, Washington Ave. Elementary, Mesa Middle School, Berrendo Middle, Sierra Middle, Mountain View Middle, Roswell High School, Goddard High School, and University High School.

Community Park Grab and Go: Poe Corn Park, Cahoon Park, Linda Vista Park, Enchanted Lands Park, and Carpenter Park.",,"Spring Break March 16-20 8- noon Roswell High School
Front Parking lot; Goddard High School front parking lot, University High
School front parking lot

Extended Spring Break March 23-April 3 from 8 – noon All
in front parking lot areas of the following Roswell Schools: Berrendo
Elementary School, Del Norte Elementary School, El Capitan Elementary School,
East Grand Plains Elementary School, Missouri, Monterey, Military Heights,
Nancy Lopez, Pecos Elementary, Valley View Elementary, Parkview Early Literacy
Center, Sunset Elementary, Washington Ave. Elementary, Mesa Middle School, Berrendo
Middle, Sierra Middle, Mountain View Middle, Roswell High School, Goddard High
School, University High School

Community Park Grab and Go: Poe Corn Park, Cahoon Park,
Linda Vista Park, Enchanted Lands Park and Carpenter Park.

",Facebook,,,,Roswell,NM,88201,33.637061,-104.377926,Chaves County,US,1,place,,,,
72,Roy Municipal Schools,,No information currently available.,,,,,,,Roy,NM,87743,35.938730,-104.195805,Harding County,US,1,place,,,,
73,Ruidoso Municipal Schools,TRUE,The Food 4 Kids (Backpack) program will continue with weekend food distribution during the 3 weeks of mandatory school closures. Ruidoso Schools will make food available during the Friday food distributions at the WME cafeteria drive-thru pick up area.,,Friday Food Distribution,"http://www.ruidososchools.org/Downloads/Backpack%20For%20Kids%20Program%20March%2013,%202020.jpg",,,,Ruidoso,NM,88345,33.347226,-105.680284,Lincoln County,US,1,place,,,,
74,San Jon Municipal Schools,TRUE,"During the weeks of March 16 - 19 and March 30 - April 1, San Jon Schools will offer grab & go meals daily at school.  You MUST text Stacy Kent or message San Jon Schools to sign up by 4PM March 14, 2020.  Pickup times will be posted soon, but tentatively set for 8am-9am.",,8  a.m. to 9 a.m.,https://www.facebook.com/sanjon.schools.7,,,,San Jon,NM,88434,35.107560,-103.328560,Quay County,US,1,place,,,,575-576-2466
76,Santa Rosa Consolidated Schools,TRUE,"Grab & Go Breakfast and lunch will be provided daily for the three week school closure. These meals will be provided at Santa Rosa Elementary and Anton Chico Schools starting Monday, March 16th, from 8:30 am - 12:30 pm. No one will be allowed to eat lunch on campus.",,8:30 a.m. to 12:30 p.m.,http://www.srlions.com/,,,,Santa Rosa,NM,88435,34.852639,-104.589897,Guadalupe County,US,1,place,,,,
77,Santa Clara Day School,TRUE,Grab and Go meals will be provided. Date of service TBD.,,,,,,,Santa Clara Pueblo,NM,87532,35.965579,-106.088635,Rio Arriba County,US,0.8,place,,,,
78,Silver Consolidated Schools,TRUE,"Beginning Monday, March 23rd, Stout Elementary cafeteria and Cliff Schools cafeteria will be serving grab & go meals for breakfast from 8:00 a.m. - 9:00 a.m. and lunch grab & go meals from 12:00 noon - 1:00 p.m.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12 p.m. to 1 p.m.",http://www.silverschools.org/UserFiles/Servers/Server_69857/File/March%2013%202020%20Coronavirus%20Update.pdf,,,,Silver City,NM,88061,32.853738,-108.330764,Grant County,US,1,place,,,,starting march 23
79,Socorro Consolidated Schools,TRUE,"Meals will be provided for students at 7:30 to 9:30 and 11:00 to 1:00 as grab and go meals. People will not be allowed to stay on site to eat the meals to prevent any transmission. Locations: Parkview elementary at 700 Franklin St. Socorro, NM 87801",,"Breakfast: 7:30 a.m. to 9:30 p.m.
Lunch: 11 a.m. to 1 p.m.",https://www.facebook.com/scsdadmin/,,,,Socorro,NM,87801,34.058400,-106.891420,Socorro County,US,1,place,,,,(575) 835-0300
80,Springer Municipal Schools,TRUE,"Beginning Monday, March 16th, 2020, all students may pick up breakfast and lunch next door to the fire department, Monday - Friday. Students may not linger; meals are intended for grab & go. Breakfast will be served from 8:00 am -  9:00 am. Lunch will be served at12:00 p.m.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12 p.m.",http://www.springerschools.org/,,,,Springer,NM,87747,36.361140,-104.595270,Colfax County,US,1,place,,,,
81,Taos Municipal Schools,TRUE,"Taos Municipal Schools will be offering TMS families grab & go breakfast and lunches for the two weeks of district closure beginning March 23rd - April 3rd, 2020. Prior to spring break, food care packages will be avaliable for pickup at Enos Elementary School on Wednesday, March 18th and Thursday, March 19th from 10:00 am - 12:00 pm. Please complete the survey on the website if you plan to participate.",,10 a.m. to 12 p.m.,http://www.taosschools.org/,,,,Taos,NM,87571,36.429239,-105.554532,Taos County,US,1,place,,,,starting march 23
82,Tatum Municipal Schools,TRUE,"Tatum Schools will provide grab & go lunches at the School Cafeteria at 11:30 am, Monday - Thursday. These meals will be provided for students only.  Lunches will not be provided during the week of March 23rd (spring break).",,Monday to Thursday at 11:30 a.m.,http://www.tatumschools.org/,,,,Tatum,NM,88267,33.252178,-103.317675,Lea County,US,1,place,,,,
83,Texico Municipal Schools,TRUE,"During the school closure dates of March 23rd – April 3rd , our cafeteria will be open in order to serve breakfast and lunch. Grab & go breakfast and lunch meals will be served from 9:00 am -  11:00 am, Monday - Thursday each week. Breakfast and lunch will not be served during our regularly scheduled Spring Break or on Friday March 27th and Friday April 3rd.",,9 a.m. to 11 a.m.,https://www.facebook.com/texico.schools,,,,Texico,NM,88135,34.388690,-103.051340,Curry County,US,1,place,,,,575-482-3801
84,Truth Or Consequences Municipal Schools,TRUE,"All meals will be served at the Hot Springs High School Cafeteria. Meals will be served Monday-Friday, breakfast will be from 7:30 am -  8:00 am and lunch from 11:30 am - 12:00 pm. Both hot measl or grab & go sack meal options will be available beginning March 16th.",,"Breakfast: 7:30 a.m. to 8 a.m.
Lunch: 11:30 a.m. to 12 p.m.",https://www.facebook.com/Truth-or-Consequences-Municipal-Schools-582916891842072/,,,,Truth or Consequences,NM,87901,33.160602,-107.266914,Sierra County,US,1,place,,,,575-894-8166
85,Tucumcari Public Schools,TRUE,"Grab & go breakfast and lunch meals will be provided to all students starting Monday, March 16th and will carry on Monday - Friday for the duration of the closure and Spring Break. Breakfast will be served from 7:30am to 9am and lunch will be from 11:30am to 1pm. These meals can be either taken to your vehicle or handed out at the doors in front of Mesa Cafeteria.",,"Breakfast: 7:30 a.m. to 9 a.m.
Lunch: 11:30 a.m. to 1 p.m.",http://tucumcari.ss5.sharpschool.com/,,,,Tucumcari,NM,88401,35.114202,-103.615509,Quay County,US,1,place,,,,
86,Tularosa Municipal Schools,TRUE,Breakfast and lunch grab & go meals will be provided for students at the Tularosa Middle School Cafeteria and Mescalero Community Center for the weeks of March 16th - 20th and March 30th - April 3rd.,,"Breakfast: 8:30 a.m. to 9 a.m.
Lunch: 11:30 a.m. to 12:30 p.m.",https://www.tularosak12.us/,,,,Tularosa,NM,88352,33.172467,-105.960356,Otero County,US,1,place,,,,
87,Vaughn Municipal School,,No information currently available.,,,https://vaughnschools.org/,,,,Vaughn,NM,88353,34.600841,-105.205826,Guadalupe County,US,1,place,,,,(575) 584-2283
88,Wagon Mound Public Schools,,No information currently available.,,,https://www.wm.k12.nm.us/,,,,Wagon Mound,NM,87752,36.005998,-104.707404,Mora County,US,1,place,,,,575-666-3000
89,West Las Vegas Public Schools,TRUE,"West Las Vegas Schools will be providing grab & go breakfast and lunch meals to our students. The times will be 8:30 am for breakfast and 11:30 am for lunch. Pickup locations are the high school, middle school and the valley schools. We will make the public aware of when lunch can be picked up at the plaza park.",,"Breakfast: 8:30 a.m.
Lunch: 11:30 a.m.",https://www.facebook.com/West-Las-Vegas-High-School-News-1362656380543897/,,,,West Las Vegas,NM,87701,35.551539,-104.985643,San Miguel County,US,1,place,,,,(505) 426-2300
90,Zuni Public Schools,TRUE,Zuni Public Schools will serve all students K-12 with breakfast and lunch meals after spring break ends. Meals will be served on weekdays from March 23rd - 27th and March 30th - April 3rd via the summer school distribution sites. Meal pickup times will be posted on social media.,,,https://www.zpsd.org/,,,,Zuni Pueblo,NM,87327,35.072532,-108.850639,McKinley County,US,0.8,place,,,,starting march 23
1000,Albuquerque Public Schools,,,,,,,Roosevelt Middle School,11799 South Highway 14,Tijeras,NM,87059,35.088352,-106.380380,Bernalillo County,US,0.53,nearest_rooftop_match,(505) 281-3316,6–8,Middle School,
1001,Albuquerque Public Schools,,,,,,,Coronado Dual Language Magnet Elementary School,601 4th St. SW,Albuquerque,NM,87102,35.079228,-106.653227,Bernalillo County,US,1,rooftop,(505) 843-8283,K–5,Elementary School,
1002,Albuquerque Public Schools,,,,,,,Career Enrichment Center & Early College Academy Magnet High School,807 Mountain RD NE,Albuquerque,NM,87102,35.096067,-106.635219,Bernalillo County,US,1,rooftop,(505) 247-3658,9–12,High School,
1003,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Washington Middle School,1101 Park SW,Albuquerque,NM,87102,35.085220,-106.659971,Bernalillo County,US,1,range_interpolation,(505) 764-2000,6–8,Middle School,
1004,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Longfellow Dual Language Magnet Elementary School,400 Edith Blvd. NE,Albuquerque,NM,87102,35.086807,-106.640894,Bernalillo County,US,1,rooftop,(505) 764-2024,K–5,Elementary School,
1005,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,East San Jose Elementary School,415 Thaxton Ave. SE,Albuquerque,NM,87102,35.062444,-106.646860,Bernalillo County,US,1,rooftop,(505) 764-2005,PreK–5,Elementary School,
1006,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Lew Wallace Elementary School,513 6th Street NW,Albuquerque,NM,87102,35.089980,-106.653593,Bernalillo County,US,1,rooftop,(505) 848-9409,K–5,Elementary School,
1007,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Eugene Field Elementary School,700 Edith Blvd. SE,Albuquerque,NM,87102,35.076343,-106.642700,Bernalillo County,US,1,rooftop,(505) 764-2014,PreK–5,Elementary School,
1008,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Albuquerque High School,800 Odelia Rd. NE,Albuquerque,NM,87102,35.096293,-106.635209,Bernalillo County,US,1,rooftop,(505) 843-6400,9–12,High School,
1009,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Dolores Gonzales Elementary School,900 Atlantic St. SW,Albuquerque,NM,87102,35.076698,-106.658666,Bernalillo County,US,1,rooftop,(505) 764-2020,PreK–5,Elementary School,
1010,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Duranes Elementary School,2436 Zickert Rd. NW,Albuquerque,NM,87104,35.110726,-106.675970,Bernalillo County,US,1,rooftop,(505) 764-2017,K–5,Elementary School,
1011,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Reginald Chavez Elementary School,2700 Mountain Rd. NW,Albuquerque,NM,87104,35.098760,-106.678615,Bernalillo County,US,1,rooftop,(505) 764-2008,K–5,Elementary School,
1012,Albuquerque Public Schools,,,,,,,School on Wheels Magnet High School,129 Hartline SW,Albuquerque,NM,87105,35.068312,-106.668548,Bernalillo County,US,1,rooftop,(505) 243-2395,9–12,High School,
1013,Albuquerque Public Schools,,,,,,,Adobe Acres Elementary School,1724 Camino Del Valle SW,Albuquerque,NM,87105,35.021727,-106.685631,Bernalillo County,US,1,rooftop,(505) 877-4799,PreK–5,Elementary School,
1014,Albuquerque Public Schools,,,,,,,Ernie Pyle Middle School,1820 Valdora Rd SW,Albuquerque,NM,87105,35.048596,-106.681648,Bernalillo County,US,1,rooftop,(505) 877-3770,6–8,Middle School,
1015,Albuquerque Public Schools,,,,,,,Polk Middle School,2220 Raymac Road SW,Albuquerque,NM,87105,34.977735,-106.702745,Bernalillo County,US,1,rooftop,(505) 877-6444,6–8,Middle School,
1016,Albuquerque Public Schools,,,,,,,Mountain View Elementary School,5317 Second St. SW,Albuquerque,NM,87105,35.001882,-106.664453,Bernalillo County,US,1,rooftop,(505) 877-3800,PreK–5,Elementary School,
1017,Albuquerque Public Schools,,,,,,,Vision Quest Alternative Middle School,5401 Glenrio Rd NW,Albuquerque,NM,87105,35.098850,-106.699939,Bernalillo County,US,1,rooftop,(505) 352-0343,6–8,Middle School,
1018,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Atrisco Elementary School,1201 Atrisco Rd. SW,Albuquerque,NM,87105,35.061613,-106.696537,Bernalillo County,US,0.5,rooftop,(505) 877-2772,PreK–5,Elementary School,
1019,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Armijo Elementary School,1440 Gatewood Rd. SW,Albuquerque,NM,87105,35.061344,-106.673188,Bernalillo County,US,0.6,rooftop,(505) 877-2920,PreK–5,Elementary School,
1020,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Valle Vista Elementary School,1700 Mae Ave. SW,Albuquerque,NM,87105,35.076947,-106.681096,Bernalillo County,US,1,rooftop,(505) 836-7739,PreK–5,Elementary School,
1021,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Kit Carson Elementary School,1921 Byron Avenue SW,Albuquerque,NM,87105,35.047629,-106.685642,Bernalillo County,US,1,rooftop,(505) 877-2724,PreK–5,Elementary School,
1022,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Rio Grande High School,2300 Arenal Road SW,Albuquerque,NM,87105,35.049505,-106.695404,Bernalillo County,US,1,rooftop,(505) 873-0220,9–12,High School,
1023,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Barcelona Elementary School,2311 Barcelona Rd. SW,Albuquerque,NM,87105,35.030968,-106.692536,Bernalillo County,US,1,rooftop,(505) 877-0400,PreK–5,Elementary School,
1024,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Los Padillas Elementary School,2525 Los Padillas Rd. SW,Albuquerque,NM,87105,34.958641,-106.709617,Bernalillo County,US,1,rooftop,(505) 877-0108,PreK–5,Elementary School,
1025,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Pajarito Elementary School,2701 Don Felipe SW,Albuquerque,NM,87105,34.998707,-106.715240,Bernalillo County,US,1,range_interpolation,(505) 877-9718,PreK–5,Elementary School,
1026,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Navajo Elementary School,2936 Hughes Rd. SW,Albuquerque,NM,87105,35.032832,-106.710408,Bernalillo County,US,1,rooftop,(505) 873-8512,PreK–5,Elementary School,
1027,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Harrison Middle School,3912 Isleta Blvd. SW,Albuquerque,NM,87105,35.017356,-106.683467,Bernalillo County,US,1,rooftop,(505) 877-1279,6–8,Middle School,
1028,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Lavaland Elementary School,501 57th St. NW,Albuquerque,NM,87105,35.090784,-106.704337,Bernalillo County,US,1,rooftop,(505) 836-4911,PreK–5,Elementary School,
1029,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,John Adams Middle School,5401 Glenrio Road NW,Albuquerque,NM,87105,35.098850,-106.699939,Bernalillo County,US,1,rooftop,(505) 831-0400,6–8,Middle School,
1030,Albuquerque Public Schools,,,,,,,Monte Vista Elementary School,3211 Monte Vista Blvd. NE,Albuquerque,NM,87106,35.082940,-106.610847,Bernalillo County,US,1,rooftop,(505) 268-3520,K–5,Elementary School,
1031,Albuquerque Public Schools,,,,,,,Bandelier Elementary School,3309 Pershing St. SE,Albuquerque,NM,87106,35.070918,-106.606930,Bernalillo County,US,1,rooftop,(505) 255-8744,K–5,Elementary School,
1032,Albuquerque Public Schools,,,,,,,College and Career Magnet High School,940 University Blvd. SE,Albuquerque,NM,87106,35.071552,-106.627715,Bernalillo County,US,1,rooftop,(505) 224-4880,9–12,High School,
